EVACode,UICCode,code,ingangsDatum,heeftFaciliteiten,heeftReisassistentie,heeftVertrektijden,land,lat,lng,radius,naderenRadius,namen,synoniemen,nearbyMeLocationId,sporen,stationType,cdCode
8400032,8400233,APDM,2020-05-13,True,True,True,NL,52.2052764892578,6.00055551528931,200,1200,"{'lang': 'Apeldoorn De Maten', 'middel': 'De Maten', 'kort': 'De Maten'}",[],"{'value': 'APDM', 'type': 'stationV2'}",[{'spoorNummer': '1'}],STOPTREIN_STATION,233.0
8400043,8400234,EGHM,2022-01-01,True,False,True,NL,50.8960498196442,6.0602474212646396,200,1200,"{'lang': 'Eygelshoven Markt', 'middel': 'Eygelshoven Mrkt', 'kort': 'Eygelsh M'}",[],"{'value': 'EGHM', 'type': 'stationV2'}",[{'spoorNummer': '1'}],STOPTREIN_STATION,234.0
8400083,8400235,ASSP,2011-05-01,True,True,True,NL,52.35526,4.94651,200,1200,"{'lang': 'Amsterdam Science Park', 'middel': 'Science Park', 'kort': 'Scienceprk'}",[],"{'value': 'ASSP', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,235.0
8400098,8400236,BHDV,2020-05-13,True,True,True,NL,51.832222,4.878056,200,1200,"{'lang': 'Boven-Hardinxveld', 'middel': 'Boven-Hardinxv.', 'kort': 'Boven-Har'}",[],"{'value': 'BHDV', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,236.0
8400042,8400238,GERP,2023-12-10,True,True,True,NL,53.20480027,6.5854178,200,1200,"{'lang': 'Groningen Europapark', 'middel': 'Europapark', 'kort': 'Europapark'}",[],"{'value': 'GERP', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}]",STOPTREIN_STATION,238.0
8400034,8400241,GDR,2020-05-13,True,True,True,NL,51.93074,6.3486,200,1200,"{'lang': 'Gaanderen', 'middel': 'Gaanderen', 'kort': 'Gaanderen'}",[],"{'value': 'GDR', 'type': 'stationV2'}",[{'spoorNummer': '1'}],STOPTREIN_STATION,241.0
8400035,8400242,HMBV,2011-05-01,True,True,True,NL,51.4622230529785,5.60722208023071,200,1200,"{'lang': 'Helmond Brandevoort', 'middel': 'Brandevoort', 'kort': 'Brandevrt'}",[],"{'value': 'HMBV', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,242.0
8400244,8400244,GDM,2018-12-09,True,True,True,NL,51.88301,5.27127,260,800,"{'lang': 'Geldermalsen', 'middel': 'Geldermalsen', 'kort': 'Geldermlsn'}",[],"{'value': 'GDM', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}, {'spoorNummer': '6'}, {'spoorNummer': '7'}]",KNOOPPUNT_STOPTREIN_STATION,244.0
8400245,8400245,GP,2011-05-01,True,True,True,NL,51.4197235107422,5.55055570602417,200,1200,"{'lang': 'Geldrop', 'middel': 'Geldrop', 'kort': 'Geldrop'}",[],"{'value': 'GP', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",KNOOPPUNT_STOPTREIN_STATION,245.0
8400246,8400246,GLN,2022-01-01,True,True,True,NL,50.9669456481934,5.84305572509766,200,1200,"{'lang': 'Geleen Oost', 'middel': 'Geleen Oost', 'kort': 'Geleen O'}",[],"{'value': 'GLN', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,246.0
8400248,8400248,LUT,2022-01-01,True,True,True,NL,50.9755554199219,5.82472229003906,200,1200,"{'lang': 'Geleen-Lutterade', 'middel': 'Geleen-Lut.', 'kort': 'Geleen-Lut'}",[],"{'value': 'LUT', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,248.0
8400251,8400251,GZ,2002-01-01,True,True,True,NL,51.583610534668,4.92611122131348,200,1200,"{'lang': 'Gilze-Rijen', 'middel': 'Gilze-Rijen', 'kort': 'Gilze-Rij'}",[],"{'value': 'GZ', 'type': 'stationV2'}","[{'spoorNummer': '3'}, {'spoorNummer': '4'}]",STOPTREIN_STATION,251.0
8400253,8400253,GS,2015-03-18,True,True,True,NL,51.4980545043945,3.89055562019348,200,1200,"{'lang': 'Goes', 'middel': 'Goes', 'kort': 'Goes'}",[],"{'value': 'GS', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,253.0
8400254,8400254,GO,2020-05-13,True,True,True,NL,52.2302780151367,6.58444452285767,200,1200,"{'lang': 'Goor', 'middel': 'Goor', 'kort': 'Goor'}",[],"{'value': 'GO', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",STOPTREIN_STATION,254.0
8400256,8400256,GR,2020-05-13,True,True,True,NL,51.8338890075684,4.96833324432373,260,800,"{'lang': 'Gorinchem', 'middel': 'Gorinchem', 'kort': 'Gorinchem'}",[],"{'value': 'GR', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}]",KNOOPPUNT_STOPTREIN_STATION,256.0
8400257,8400257,GDG,1993-05-01,True,True,True,NL,52.0149993896484,4.7408332824707,200,1600,"{'lang': 'Gouda Goverwelle', 'middel': 'Goverwelle', 'kort': 'Goverwelle'}",[],"{'value': 'GDG', 'type': 'stationV2'}","[{'spoorNummer': '1'}, {'spoorNummer': '2'}, {'spoorNummer': '3'}, {'spoorNummer': '4'}]",STOPTREIN_STATION,257.0
